budget;popularity;Years_old;revenue;runtime;title;vote_average;vote_count
20000000;2.605374;11;7000000;83;An American Carol;4.1;20
7000000;7.155519;10;1429299;106;I Hope They Serve Beer in Hell;5.7;20
2600000;8.001156;26;2850263;91;Airborne;6.1;20
1000000;2.175696;13;10018;78;Alone With Her;6.2;20
8000000;8.717235;22;589304;106;Prefontaine;6.7;21
1000000;1.444258;63;9000000;89;Love Me Tender;5.5;21
245000;0.785744;94;22000000;151;The Big Parade;7;21
25000000;4.020194;35;5778353;117;Sheena;5;22
15000000;2.609057;23;76382;93;Silent Trigger;5;22
134005;2.260315;8;1332231;104;Snow Flower and the Secret Fan;5.3;22
4000000;1.379354;63;14400000;105;Trapeze;6.4;22
3768785;1.726175;69;8000000;107;Annie Get Your Gun;7.3;22
36500000;2.785832;11;21834845;115;The Inhabited Island;5.3;23
12000000;1.623338;16;4922166;90;From Justin to Kelly;3;23
3000000;1.204941;22;302204;109;Shooting Fish;7;23
2600000;0.895946;15;3166000;105;Riding Giants;7.6;23
2000000;2.283796;12;1431623;102;No End in Sight;7.2;23
800000;5.292536;16;62852;94;The Mudge Boy;7.3;23
300000;1.085909;14;1750211;88;Murderball;6.9;23
250000;1.45917;18;4186931;91;Lovely & Amazing;6.3;23
68490000;4.72629;3;193677158;120;The Monkey King 2;6;24
32000000;4.098444;22;3566637;75;Cats Don't Dance;7.1;24
20000000;2.003047;21;37672350;124;How Stella Got Her Groove Back;6;24
20000000;6.102663;15;11341016;98;Connie and Carla;6.4;24
10000000;3.988432;19;1631839;101;Gun Shy;5.4;24
9600000;3.588529;14;4386236;144;The Lost City;6;24
8000000;3.942464;13;143451;107;10th & Wolf;6.3;24
1200000;3.085411;6;2861020;114;Home Run;6.3;24
1000000;4.86805;22;2057193;84;Two Girls and a Guy;5.4;24
35000000;2.877488;24;15000000;135;The Horseman on the Roof;6.7;25
25000000;7.946769;23;10070000;105;Mrs. Winterbourne;5.3;25
12000000;8.61659;40;54000000;102;Prophecy;5.4;25
10000000;3.007816;19;5164404;140;The House of Mirth;6.4;25
6000000;2.404626;11;69497;85;Surfer, Dude;4.7;25
3000000;1.586598;29;15369573;100;Spaced Invaders;4.7;25
2900000;3.370225;58;5000000;136;Pocketful of Miracles;7.3;25
1000000;3.424158;19;1744858;94;The Broken Hearts Club: A Romantic Comedy;6.3;25
28000000;2.439184;26;669276;72;The Thief and the Cobbler;6.8;26
7000000;2.453459;18;10229331;93;The Wash;5.3;26
2000000;1.95686;17;2506446;96;Full Frontal;4.8;26
300000;1.314576;16;7808524;112;Tupac: Resurrection;8;26
31192;1.330379;10;10000;89;Down Terrace;6.3;26
17000000;2.215261;42;8720000;91;Damnation Alley;5;27
1300000;7.605291;31;354704;102;Prison;6.7;27
200000;0.622752;86;2200000;66;She Done Him Wrong;5.1;27
65000000;5.258726;7;73706;87;Foodfight!;2.3;28
55000000;2.410546;32;14375181;107;Ishtar;4.2;28
40000000;2.911819;17;10959475;93;Extreme Ops;5;28
25000000;1.876811;10;20719451;117;Mao's Last Dancer;6.8;28
9250000;7.000949;40;29174648;125;The Rose;6.8;28
4361898;2.080741;16;3031801;92;Mambo Italiano;5.6;28
3500000;3.643608;13;113783;98;Winter Passing;6.7;28
3000000;1.697846;14;11718595;100;Dave Chappelle's Block Party;6.4;28
950000;0.178689;51;814666;103;Charly;6.6;28
