Profit;popularity;Day_of_week;runtime;title;vote_average;vote_count
-17000000;6.908351;6;88;The Country Bears;4,3;20
-13000000;2.605374;6;83;An American Carol;4,1;20
-13253000;8.266124;5;114;I Come with the Rain;5,6;20
-2600000;2.244947;6;91;Juwanna Mann;4,2;20
-5570701;7.155519;6;106;I Hope They Serve Beer in Hell;6,7;20
250263;8.001156;6;91;Airborne;2;20
-989982;2.175696;6;78;Alone With Her;5,8;20
-120000;1.112792;6;95;The Married Woman;6,6;20
-9300000;6.370267;6;107;A Walk on the Moon;6,2;21
-7410696;8.717235;6;106;Prefontaine;4,3;21
-3400000;2.201678;6;95;The Good Heart;6,8;21
-1900000;1.367751;6;89;Brotherly Love;7,6;21
8000000;1.444258;5;89;Love Me Tender;7,2;21
21755000;0.785744;5;151;The Big Parade;6,9;21
-19221647;4.020194;6;117;Sheena;5;22
16000000;1.934524;6;134;For Colored Girls;7;22
-14923618;2.609057;4;98;Silent Trigger;5;22
-10000000;2.574014;6;106;Adam Resurrected;6,9;22
1198226;2.260315;6;104;Snow Flower and the Secret Fan;6,5;22
10400000;1.379354;4;105;Trapeze;7,8;22
4231215;1.726175;4;107;Annie Get Your Gun;6,5;22
-1800000;1.959405;5;86;Independence Daysaster;6,3;22
1161796;1.063439;1;91;Tarnation;6,6;22
-500000;1.428483;6;80;The Dark Hours;5,6;22
-14665155;2.785832;5;115;The Inhabited Island;5,3;23
-7077834;1.623338;6;90;From Justin to Kelly;3;23
-2697796;1.204941;6;109;Shooting Fish;5,8;23
4037782;1.876621;6;120;The Geographer Drank His Globe Away;6,1;23
566000;0.895946;6;105;Riding Giants;5,2;23
-568377;2.283796;6;102;No End in Sight;6,5;23
-1000000;3.638411;3;96;Hits;6,1;23
-737148;5.292536;6;94;The Mudge Boy;6,1;23
1450211;1.085909;6;88;Murderball;4,7;23
3936931;1.45917;6;91;Lovely & Amazing;5,7;23
125187158;4.72629;6;120;The Monkey King 2;6;24
-28433363;4.098444;4;75;Cats Don't Dance;7,1;24
17672350;2.003047;6;124;How Stella Got Her Groove Back;6;24
-8658984;6.102663;6;98;Connie and Carla;6,4;24
-8368161;3.988432;6;101;Gun Shy;6,8;24
-5213764;3.588529;7;144;The Lost City;6,4;24
-7856549;3.942464;1;107;10th & Wolf;5,6;24
1661020;3.085411;6;114;Home Run;8,1;24
1057193;4.86805;1;84;Two Girls and a Guy;6,3;24
-13000000;4.009379;6;95;Super Hybrid;7,7;24
-120000;2.213889;7;88;A Dog's Breakfast;6,3;24
-20000000;2.877488;4;135;The Horseman on the Roof;6,7;25
-14930000;7.946769;6;105;Mrs. Winterbourne;5,3;25
4291965;4.052219;6;101;Catch a Fire;6,4;25
42000000;8.61659;2;102;Prophecy;5,4;25
-4835596;3.007816;7;140;The House of Mirth;6,8;25
-5930503;2.404626;6;85;Surfer, Dude;6,8;25
-4500000;0.011697;5;122;Character;7,4;25
12369573;1.586598;6;100;Spaced Invaders;4,2;25
2100000;3.370225;2;136;Pocketful of Miracles;4,1;25
744858;3.424158;3;94;The Broken Hearts Club: A Romantic Comedy;7,3;25
-1000000;1.50211;6;97;Creative Control;4,8;25
-25000000;3.344158;4;100;Red Sky;4,1;26
-27330724;2.439184;5;72;The Thief and the Cobbler;6,8;26
-15;5.112809;5;95;Peeples;5,6;26
1;1.617943;6;85;Of Horses and Men;4,3;26
-7500000;2.226412;6;109;The Hotel New Hampshire;6,8;26
3229331;2.453459;6;93;The Wash;6,8;26
-1500000;2.855963;1;95;Psycho Beach Party;6,6;26
506446;1.95686;6;96;Full Frontal;7,8;26
-700000;2.659006;6;87;Walter;7,1;26
7508524;1.314576;5;112;Tupac: Resurrection;6,1;26
-21192;1.330379;3;89;Down Terrace;6,3;26
-8280000;2.215261;7;91;Damnation Alley;5;27
-15000000;5.484679;6;98;The Clan of the Cave Bear;4,8;27
-10000000;3.753703;6;89;Gunless;6,4;27
-5000000;6.759235;5;88;The Oh in Ohio;5,6;27
-945296;7.605291;6;102;Prison;8,1;27
-1250000;3.000435;6;156;Rocket Singh: Salesman of the Year;4,1;27
2000000;0.622752;5;66;She Done Him Wrong;6,6;27
-64926294;5.258726;6;87;Foodfight!;2,3;28
-40624819;2.410546;6;107;Ishtar;4,2;28
-29040525;2.911819;4;93;Extreme Ops;5;28
-4280549;1.876811;5;117;Mao's Last Dancer;6,8;28
-12000000;2.695896;7;110;Breakfast of Champions;5,2;28
19924648;7.000949;4;125;The Rose;5,6;28
-8000000;2.60632;4;135;Silmido;6,8;28
-1330097;2.080741;6;92;Mambo Italiano;7,6;28
-8000000;3.653305;6;96;Salvation Boulevard;7,3;28
21;1.199451;5;89;A Farewell to Arms;6,3;28
-3386217;3.643608;3;98;Winter Passing;5,2;28
8718595;1.697846;2;100;Dave Chappelle's Block Party;5,3;28
23311391;2.756435;5;106;Under the Same Moon;6,3;28
-135334;0.178689;2;103;Charly;5;28
-58736034;3.276912;4;101;Chill Factor;5,3;29
