Profit;popularity;Day_of_week;runtime;vote_average;vote_count
-17000000;6.908351;6;88;4,3;20
-13000000;2.605374;6;83;4,1;20
-13253000;8.266124;5;114;5,6;20
-2600000;2.244947;6;91;4,2;20
-5570701;7.155519;6;106;6,7;20
250263;8.001156;6;91;2;20
-989982;2.175696;6;78;5,8;20
-120000;1.112792;6;95;6,6;20
-9300000;6.370267;6;107;6,2;21
-7410696;8.717235;6;106;4,3;21
-3400000;2.201678;6;95;6,8;21
-1900000;1.367751;6;89;7,6;21
8000000;1.444258;5;89;7,2;21
21755000;0.785744;5;151;6,9;21
-19221647;4.020194;6;117;5;22
16000000;1.934524;6;134;7;22
-14923618;2.609057;4;98;5;22
1198226;2.260315;6;104;6,5;22
10400000;1.379354;4;105;7,8;22
4231215;1.726175;4;107;6,5;22
-1800000;1.959405;5;86;6,3;22
1161796;1.063439;1;91;6,6;22
-500000;1.428483;6;80;5,6;22
-14665155;2.785832;5;115;5,3;23
-7077834;1.623338;6;90;3;23
-2697796;1.204941;6;109;5,8;23
4037782;1.876621;6;120;6,1;23
566000;0.895946;6;105;5,2;23
-568377;2.283796;6;102;6,5;23
-1000000;3.638411;3;96;6,1;23
-737148;5.292536;6;94;6,1;23
1450211;1.085909;6;88;4,7;23
3936931;1.45917;6;91;5,7;23
125187158;4.72629;6;120;6;24
-28433363;4.098444;4;75;7,1;24
17672350;2.003047;6;124;6;24
-8658984;6.102663;6;98;6,4;24
-8368161;3.988432;6;101;6,8;24
-5213764;3.588529;7;144;6,4;24
-7856549;3.942464;1;107;5,6;24
1661020;3.085411;6;114;8,1;24
1057193;4.86805;1;84;6,3;24
-13000000;4.009379;6;95;7,7;24
-120000;2.213889;7;88;6,3;24
-14930000;7.946769;6;105;5,3;25
4291965;4.052219;6;101;6,4;25
42000000;8.61659;2;102;5,4;25
-4835596;3.007816;7;140;6,8;25
-5930503;2.404626;6;85;6,8;25
-4500000;0.011697;5;122;7,4;25
12369573;1.586598;6;100;4,2;25
2100000;3.370225;2;136;4,1;25
744858;3.424158;3;94;7,3;25
-1000000;1.50211;6;97;4,8;25
-25000000;3.344158;4;100;4,1;26
-27330724;2.439184;5;72;6,8;26
-15;5.112809;5;95;5,6;26
1;1.617943;6;85;4,3;26
-7500000;2.226412;6;109;6,8;26
3229331;2.453459;6;93;6,8;26
-1500000;2.855963;1;95;6,6;26
506446;1.95686;6;96;7,8;26
-700000;2.659006;6;87;7,1;26
7508524;1.314576;5;112;6,1;26
-21192;1.330379;3;89;6,3;26
-8280000;2.215261;7;91;5;27
-15000000;5.484679;6;98;4,8;27
-5000000;6.759235;5;88;5,6;27
-945296;7.605291;6;102;8,1;27
-1250000;3.000435;6;156;4,1;27
2000000;0.622752;5;66;6,6;27
-64926294;5.258726;6;87;2,3;28
-40624819;2.410546;6;107;4,2;28
-29040525;2.911819;4;93;5;28
-4280549;1.876811;5;117;6,8;28
-12000000;2.695896;7;110;5,2;28
19924648;7.000949;4;125;5,6;28
-8000000;2.60632;4;135;6,8;28
-1330097;2.080741;6;92;7,6;28
-8000000;3.653305;6;96;7,3;28
21;1.199451;5;89;6,3;28
-3386217;3.643608;3;98;5,2;28
8718595;1.697846;2;100;5,3;28
23311391;2.756435;5;106;6,3;28
-135334;0.178689;2;103;5;28
-58736034;3.276912;4;101;5,3;29
3102550;3.71305;3;80;5,4;29
-637228;3.707511;6;108;4,3;29
40072596;2.986286;6;121;6,1;29
37000000;2.388918;3;117;7,1;29
-8500000;3.064563;6;93;5,7;29
-2650000;maj.45;5;103;6,1;29
-6546921;2.26778;1;108;6;29
-2716629;5.411243;6;99;6,6;29
-700000;1.883947;5;92;7,2;29
-28000000;3.56033;6;87;4,7;30
-12009599;1.884558;5;120;6,4;30
-8621007;0.903529;5;118;6,3;30
19179516;4.623609;4;97;4,7;30
-2500000;2.149469;6;97;4,9;30
292175;2.627232;2;96;6,8;30
-3755184;3.108881;7;97;6;30
3914000;1.897263;4;109;7,2;30
1632;0.143784;1;79;5,9;30
16500000;2.537032;4;97;6,2;30
-20400000;6.81729;6;115;5,7;31
-21948000;1.894749;2;128;7;31
-19653406;3.620537;6;110;6;31
-11272676;2.950618;6;99;7,3;31
19392418;3.290639;4;100;6;31
-9700000;2.849895;6;104;3;31
19362712;3.501158;7;109;5,7;31
882290;6.41678;5;100;4,1;31
-5753859;2.550045;6;100;6,2;31
-5500000;3.21392;7;100;6,2;31
161369;3.43159;6;109;7,1;31
-1346379;3.980072;6;92;4,6;31
967192;7.731064;7;97;6,5;31
2611555;5.937602;5;119;4,9;31
-32385720;2.817364;6;106;4,5;32
1170563;5.422285;6;105;6;32
-1400000;3.138118;6;125;6,3;32
-4556684;3.033471;4;93;4,8;32
9001563;2.238646;5;117;5,8;32
6000000;3.89204;4;98;5,2;32
-13312326;5.16023;6;129;5,6;32
-992798;1.260314;2;81;3,3;32
-1000000;3.629777;6;105;4,9;32
-46000;1.447734;3;83;4,8;32
-62000;2.407048;1;82;5,8;32
-19694930;3.581906;6;107;6,2;33
-14250000;4.229942;3;188;6;33
40184721;2.005111;6;113;6,1;33
5292381;1.081822;6;86;5,4;33
2945242;4.056774;3;105;6;33
-9000000;2.872281;6;128;4,8;33
-5000000;3.05434;6;95;3,8;33
6800000;3.851;4;100;7,5;33
-33500000;2.864979;6;173;7,4;34
-25000000;1.492056;5;101;5,5;34
33082548;1.714972;6;90;5,3;34
-10300000;2.259537;6;84;5,7;34
-9500000;5.346205;6;87;7;34
19059640;5.537646;6;106;5,5;34
-6000000;6.903186;7;99;5,9;34
10422387;2.787375;5;115;5,7;34
-2902660;1.35088;6;93;8;34
-500000;2.391847;6;87;5;34
11000000;3.721272;6;101;6,4;35
9109322;5.886228;6;88;1,9;35
-2377154;5.759545;6;145;6,4;35
-8650000;8.218383;5;120;5,8;35
10;1.537859;6;91;7;35
-4400000;3.898737;3;85;8,2;35
8500000;2.938973;4;121;5,4;35
1109095;3.937939;4;117;5,2;35
5355847;1.86221;1;107;6,7;35
-17800000;3.102987;6;118;6,8;36
-7000000;3.321095;2;154;6,3;36
10637469;2.698185;6;116;5,8;36
-8224415;4.850402;2;100;6,6;36
-3853598;3.663108;6;113;6,4;36
-2896265;1.781462;6;93;4,3;36
-1875506;1.892183;6;91;5,9;36
-1800000;2.179428;3;118;5,6;36
-300000;1.673208;1;73;7,6;36
-46000000;2.275331;6;105;5,4;37
-5097885;8.074807;6;94;5;37
14400000;7.60445;3;144;6,9;37
17159423;3.656491;3;104;6,5;37
-4217898;3.792015;2;90;7;37
-3644312;3.238466;6;119;7,3;37
-3500000;3.158056;3;92;6,5;37
1842000;1.933366;5;89;6,9;37
-23800000;12.257654;1;140;7;38
-9100000;3.004432;4;90;6,1;38
25573780;3.951041;6;120;6,3;38
-16728334;3.809131;6;104;5,6;38
-3785127;3.490215;4;123;6,7;38
-2600000;3.687574;6;97;5,4;38
523525;4.442355;4;84;6,1;38
-225000;1.014966;6;98;6,7;38
17519169;4.031585;5;103;6,3;39
7409028;6.733485;6;103;5,7;39
243649;2.079125;6;98;5,9;39
36600000;2.833166;1;128;6,4;39
-3962091;3.415534;4;94;5;40
-38000000;5.257009;6;99;5,5;40
5310554;2.366251;6;121;5,8;40
-7347125;3.949796;5;122;7,9;40
-157301;3.943706;6;121;7,3;40
-2392441;4.624691;4;90;4,9;40
-29891652;4.065212;1;125;5;41
34701637;4.189378;6;114;5,9;41
-4526667;3.011205;2;199;6,5;41
-14979620;12.185204;5;93;5,7;41
-4649226;8.738737;6;79;6,8;41
-7946914;6.500835;4;112;7,8;41
-5689327;3.120016;4;170;6,3;41
7400000;6.734965;1;146;7,3;41
-1377194;4.261509;6;96;5,4;41
4790000;2.043661;7;80;7,6;41
-50000;1.777148;7;47;5,7;41
9600000;3.246903;6;193;6,1;42
4671300;5.069095;5;116;5,9;42
-6500000;2.163683;6;108;5,1;42
31900000;4.028875;4;135;7;42
-1;1.859965;6;95;6,6;42
-51337973;6.682006;5;88;5,9;43
-572808;3.021835;6;96;5,4;43
-6457975;4.330428;4;86;5,9;43
-7700000;3.363973;7;110;7,1;43
-787706;3.618646;6;111;6,8;43
9037390;3.322721;7;107;4,6;43
-40148390;8.189406;6;95;5,2;44
-11027492;4.100942;6;89;5,1;44
852450;3.561198;6;101;5,5;44
-3974762;4.148253;6;95;7,6;44
-5000000;6.308298;6;91;7,6;44
-46000000;4.842626;6;90;5;45
-14280643;3.888776;2;99;4,6;45
-9696123;4.267466;6;127;5,8;45
-4951045;5.483531;6;96;7,1;45
-500000;5.033065;1;120;6,5;45
-5650000;2.388683;2;97;6,5;45
-300000;2.733725;5;97;6,3;45
-19654944;1.767479;6;86;5,5;46
4535191;4.519523;5;97;6,3;46
-8000000;3.535789;6;92;6,9;46
-7000000;5.517597;7;125;7,1;46
-4500000;8.48639;4;110;5,4;46
-531428;4.541908;4;110;6,2;46
9300000;3.281509;5;149;6,3;46
-1000000;3.844926;6;126;6,5;47
-7806769;2.77255;6;98;5,2;47
-13000000;2.909346;2;95;4,8;47
13515786;3.650857;6;109;6,9;47
500000;3.444542;6;93;4,6;47
6153593;3.079862;6;129;6,3;47
5400000;5.33861;5;76;7;47
3700000;2.739307;6;90;6,6;47
1283054;2.676535;4;121;6,2;47
-3400000;6.723057;6;118;7,4;47
5800000;5.381536;3;118;4,8;47
-43076064;4.362535;6;214;6,1;48
-19100000;6.377308;5;100;5,5;48
-14313571;2.848727;6;97;4,3;48
-4698351;4.628525;7;120;6,5;48
11482931;5.102258;6;95;5,8;48
-769724;7.034618;5;94;6,6;48
9013424;3.990215;7;97;6,5;48
414404;4.262374;6;106;5,7;48
