Winner;Film
1;The Last Command
1;7th Heaven
1;"The Dove; Tempest"
1;Sunrise
1;Sunrise
1;Two Arabian Knights
1;7th Heaven
1;Wings
1;Wings
1;Sunrise
1;7th Heaven
1;Underworld
1;The Jazz Singer
1;The Circus
1;In Old Arizona
1;Coquette
1;The Bridge of San Luis Rey
1;White Shadows in the South Seas
1;The Divine Lady
1;The Broadway Melody
1;The Patriot
1;Disraeli
1;The Divorcee
1;Herman Rosse
1;Joseph T. Rucker, Willard Van Der Veer
1;All Quiet on the Western Front
1;Universal
1;Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director
1;Frances Marion
1;A Free Soul
1;Min and Bill
1;Max Rée
1;Floyd Crosby
1;Norman Taurog
1;RKO Radio
1;Howard Estabrook
1;John Monk Saunders
1;The Champ
1;Dr. Jekyll and Mr. Hyde
1;The Sin of Madelon Claudet
1;Gordon Wiles
1;Lee Garmes
1;Frank Borzage
1;Metro-Goldwyn-Mayer
1;Walt Disney, Producer
1;Hal Roach, Producer
1;Mack Sennett, Producer
1;Edwin Burke
1;Frances Marion
1;“Mickey Mouse”
1;The Private Life of Henry VIII
1;Morning Glory
1;William S. Darling
1;Charles Bryant Lang, Jr.
1;Frank Lloyd
1;Fox
1;Walt Disney, Producer
1;Louis Brock, Producer
1;Joe Rock, Producer
1;Paramount Studio Sound Department, Franklin B. Hansen, Sound Director
1;Victor Heerman, Sarah Y. Mason
1;Robert Lord
1;It Happened One Night
1;It Happened One Night
1;Cedric Gibbons, Fredric Hope
1;John Waters
1;Victor Milner
1;Frank Capra
1;Conrad Nervig
1;Columbia Studio Music Department, Louis Silvers, head of department  (Thematic Music by Victor Schertzinger and Gus Kahn)
1;"Music by Con Conrad; Lyrics by Herb Magidson"
1;Columbia
1;Walt Disney, Producer
1;Kenneth Macgowan, Producer
1;Stacy Woodard and Horace Woodard, Producers
1;Columbia Studio Sound Department, John Livadary, Sound Director
1;Robert Riskin
1;Arthur Caesar
1;The Informer
1;Dangerous
1;Richard Day
